StudyID,PE1_PARFuture,I1_IMFuture,I2_IMForeigners,O1_FriendsImportant,O2_PeopleExpect,PE2_PARPractice,I3_IMEngSpeaker,O3_PeopleRespect,O4_PeersApproval,I4_IMLivingAbroad,I5_IMWritingEmail,O5_PeopleKnowledge,I6_IMUniversity,O6_LetOthersDown,PE3_PARTry,I7_IMEnglishFriends,I8_IMRoleModel,I9_IMNative,I10_FutureRequire,O7_PARDisappointed,O8_NegativeLife,O9_PAREducated,AgeYrs,Cohort,AgeGrp,PEScore,IL2Score,OL2Score
82,5,5,5,5,3,5,5,5,5,5,5,3,2,5,5,5,5,5,5,5,5,5,20,2,3,15,47,31
83,5,5,5,3,5,4,5,3,2,5,5,1,5,5,3,5,3,2,5,3,5,1,20,2,3,12,45,22
86,5,5,5,1,3,5,5,1,3,5,5,5,5,1,5,5,5,5,5,1,5,5,19,2,2,15,50,15
87,5,5,5,5,5,5,5,5,5,5,5,3,5,3,4,5,5,3,4,3,5,4,21,2,4,14,47,29
88,3,5,5,1,2,3,5,3,2,5,4,3,4,1,2,4,4,4,5,1,3,2,19,2,2,8,45,13
89,5,4,4,1,1,5,5,1,3,4,4,1,4,1,1,5,5,4,2,1,3,1,21,2,4,11,41,9
90,1,2,1,1,1,4,5,1,1,2,2,1,2,1,3,3,3,3,5,5,5,3,19,2,2,8,28,11
91,5,5,5,2,2,5,5,3,4,5,5,3,5,1,5,5,5,5,5,2,5,5,20,2,3,15,50,17
92,5,5,5,3,3,5,5,3,3,5,5,3,5,1,5,5,5,5,5,3,4,3,20,2,3,15,50,19
93,5,5,5,3,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,20,2,3,15,50,32
94,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,4,5,20,2,3,14,49,34
95,5,5,5,3,1,5,5,3,4,5,5,4,4,4,5,5,4,5,5,2,5,5,21,2,4,15,48,21
96,4,4,3,4,4,2,4,4,3,2,2,3,2,1,2,4,4,4,4,4,3,4,21,2,4,8,33,23
97,5,3,2,3,3,4,3,3,5,2,2,3,3,3,3,4,2,3,3,3,4,4,20,2,3,12,27,23
98,1,2,2,3,1,3,2,3,1,1,4,1,1,1,3,2,2,3,1,1,1,1,19,2,2,7,20,11
99,4,5,5,5,5,5,5,3,5,5,5,5,4,3,4,5,5,5,5,4,3,5,21,2,4,13,49,30
100,5,5,4,1,4,5,4,5,5,4,4,3,4,2,5,4,4,3,4,5,5,5,21,2,4,15,40,25
101,5,4,5,3,4,5,4,3,3,5,5,4,5,3,5,4,5,5,5,4,5,4,21,2,4,15,47,24
103,5,5,4,3,4,4,4,5,5,4,4,5,3,4,5,4,4,4,4,4,3,4,21,2,4,14,40,30
104,3,5,5,3,1,2,5,3,3,5,5,2,5,1,2,5,4,4,5,1,5,2,20,2,3,7,48,14
105,5,3,3,2,5,5,4,2,5,4,4,5,5,2,5,4,3,3,5,4,5,5,19,2,2,15,38,25
106,5,4,4,3,5,5,4,5,5,4,5,4,4,2,4,4,4,4,5,5,4,5,20,2,3,14,42,29
108,5,5,5,2,2,4,4,3,3,4,3,3,3,2,3,3,3,3,3,3,3,3,20,2,3,12,36,18
109,3,3,5,5,5,3,5,5,5,5,4,1,4,2,3,5,4,3,5,5,4,3,21,2,4,9,43,28
110,5,5,5,3,3,5,5,4,1,5,5,2,4,1,5,5,5,5,3,4,5,4,20,2,3,15,47,18
111,4,4,3,3,4,4,3,4,3,3,3,4,3,4,4,3,3,2,4,4,4,4,20,2,3,12,31,26
12,5,5,5,1,3,5,5,5,3,5,5,1,2,5,5,5,5,5,2,5,1,1,22,2,5,15,44,23
113,5,3,3,1,3,5,3,3,3,2,3,1,1,1,3,2,4,2,3,2,2,2,21,2,4,13,26,14
114,5,5,5,3,3,5,5,3,3,5,5,1,5,1,3,5,5,5,5,2,4,5,19,2,2,13,50,16
115,1,1,1,5,5,1,1,5,2,1,1,3,1,3,3,1,1,1,1,3,1,1,21,2,4,5,10,26
116,4,4,4,1,2,3,5,4,3,5,3,3,4,1,3,4,3,3,5,4,4,2,21,2,4,10,40,18
117,5,5,5,4,4,5,5,5,5,5,5,5,5,1,5,5,5,5,5,3,5,5,20,2,3,15,50,27
118,5,5,5,3,2,5,5,3,1,5,5,2,5,1,5,5,5,5,5,2,4,4,20,2,3,15,50,14
119,4,4,3,1,5,4,5,5,5,5,5,3,2,1,5,5,4,4,5,4,5,5,21,2,4,13,42,24
120,5,5,5,3,5,5,5,5,4,5,5,4,4,3,5,5,5,5,5,5,3,5,20,2,3,15,49,29
121,4,3,3,1,2,4,3,2,4,4,3,1,4,2,4,4,3,2,5,2,5,4,20,2,3,12,34,14
122,5,5,5,5,5,5,5,5,5,4,5,5,4,2,4,5,5,5,5,2,4,4,20,2,3,14,48,29
123,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,20,2,3,3,12,7
124,5,5,4,1,3,5,5,5,2,4,5,1,5,4,5,5,5,5,4,5,4,3,20,2,3,15,47,21
125,5,4,4,2,5,4,5,5,4,5,5,5,5,5,5,5,5,4,5,4,3,4,20,2,3,14,47,30
126,4,5,5,1,3,5,5,1,1,5,5,2,5,2,3,5,5,5,5,2,3,3,20,2,3,12,50,12
127,4,4,3,2,2,4,3,2,3,4,3,2,3,4,3,2,3,4,3,2,3,4,19,2,2,11,32,17
128,3,4,4,5,4,4,4,5,5,4,4,4,4,4,5,4,4,4,5,4,5,5,21,2,4,12,41,31
129,5,5,5,1,1,5,5,1,5,5,5,1,5,1,5,5,5,2,5,5,5,5,20,2,3,15,47,15
130,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,20,2,3,15,50,34
131,1,5,5,1,1,5,5,1,1,5,5,1,5,1,1,5,5,5,5,1,5,5,19,2,2,7,50,7
132,1,1,3,3,1,1,1,1,3,3,5,1,4,4,2,2,3,1,2,1,1,1,19,2,2,4,25,14
133,5,5,4,1,3,4,5,3,3,5,5,4,5,1,4,5,5,4,5,2,4,3,20,2,3,13,48,17
134,4,5,5,3,2,5,5,2,2,4,5,3,2,2,5,4,4,3,5,2,2,3,20,2,3,14,42,16
135,3,5,5,1,4,2,5,4,4,5,4,5,3,3,1,5,5,5,5,2,5,2,20,2,3,6,47,23
136,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,1,1,1,1,4,5,1,20,2,3,6,10,14
137,3,5,5,1,3,2,5,3,4,5,5,4,5,3,3,4,5,5,3,3,4,3,20,2,3,8,47,21
138,5,5,5,5,5,5,5,5,5,5,5,3,5,4,5,4,5,5,5,5,5,5,20,2,3,15,49,32
139,3,4,5,1,1,3,5,1,2,5,5,1,5,1,3,5,3,2,5,3,5,4,20,2,3,9,44,10
140,5,5,5,3,3,4,5,2,4,4,4,4,3,4,5,4,4,4,5,4,4,5,20,2,3,14,43,24
141,4,5,5,4,3,1,5,3,3,5,5,3,4,3,3,5,5,4,5,2,4,4,19,2,2,8,48,21
142,5,5,5,3,3,5,4,3,3,5,5,5,5,4,4,3,3,3,4,3,4,4,20,2,3,14,42,24
143,1,5,5,1,1,2,5,1,1,5,4,3,5,1,1,5,5,5,5,3,5,5,20,2,3,4,49,11
144,5,4,4,1,3,5,4,2,3,5,5,2,4,3,5,4,5,4,4,5,5,5,21,2,4,15,43,19
145,3,5,5,1,4,2,5,3,2,5,5,3,5,1,1,5,5,5,5,1,3,2,20,2,3,6,50,15
146,4,5,5,1,1,4,5,1,1,5,5,4,5,1,2,5,5,5,4,2,5,5,21,2,4,10,49,11
147,5,5,5,4,3,5,5,3,2,5,5,4,5,4,5,5,5,4,5,2,5,5,21,2,4,15,49,22
148,5,5,5,1,1,5,5,1,1,4,5,1,4,3,5,4,4,5,4,3,4,3,21,2,4,15,45,11
149,5,5,5,1,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,5,21,2,4,15,46,27
150,4,4,4,2,3,4,4,3,3,5,5,4,5,4,3,4,4,3,4,3,4,3,19,2,2,11,42,22
151,1,5,5,1,3,1,5,1,1,5,5,1,5,1,1,5,5,5,5,1,3,1,20,2,3,3,50,9
152,5,5,5,1,2,5,4,5,1,4,4,2,4,4,4,4,5,5,5,3,5,2,20,2,3,14,45,18
153,5,5,5,1,5,4,5,2,2,4,5,3,5,1,5,5,5,5,5,2,5,3,22,2,5,14,49,16
154,5,5,5,1,1,5,5,4,1,5,5,1,5,1,5,5,5,5,5,1,4,4,21,2,4,15,50,10
155,5,5,5,1,2,5,5,1,1,5,4,2,4,2,5,5,5,4,5,3,5,4,19,2,2,15,47,12
156,5,4,5,4,5,5,5,1,3,5,3,1,5,1,5,3,5,5,5,5,3,5,22,2,5,15,45,20
157,3,5,5,4,5,5,5,5,5,5,5,4,5,2,5,5,5,5,4,3,4,5,20,2,3,13,49,28
158,5,4,5,3,5,5,5,5,5,3,5,3,5,4,3,3,3,4,3,4,3,4,20,2,3,13,40,29
159,4,4,4,1,1,4,5,1,1,4,4,1,4,1,3,5,4,4,5,1,5,5,19,2,2,11,43,7
160,4,5,5,3,4,5,5,3,4,5,5,4,5,1,4,5,4,4,5,4,5,4,21,2,4,13,48,23
161,4,5,5,4,3,5,5,3,3,5,4,4,5,3,4,5,5,5,5,3,4,3,20,2,3,13,49,23
162,5,5,5,3,3,5,5,5,3,5,4,5,5,4,5,5,5,5,5,4,5,5,19,2,2,15,49,27
163,5,5,5,3,1,5,5,3,3,5,5,4,5,3,3,5,5,5,4,2,4,4,20,2,3,13,49,19
164,5,3,3,1,3,5,3,5,5,3,5,5,3,4,5,3,3,3,3,3,5,5,21,2,4,15,32,26
165,4,5,4,4,5,3,4,5,5,5,3,5,5,2,4,5,5,5,5,4,5,4,20,2,3,11,46,30
166,5,4,4,1,1,4,5,1,1,5,4,1,5,3,4,5,4,4,5,4,5,4,20,2,3,13,45,12
167,5,5,5,5,5,5,5,4,4,5,5,3,5,4,5,4,5,5,5,4,5,4,20,2,3,15,49,29
168,5,4,4,1,2,4,4,3,3,4,4,4,4,2,4,4,4,3,4,3,5,4,20,2,3,13,39,18
169,5,4,3,2,1,5,5,2,4,4,4,4,4,2,5,4,4,4,4,3,4,4,20,2,3,15,40,18
170,5,4,2,5,5,5,4,2,5,5,2,5,3,5,5,2,5,3,5,5,5,5,20,2,3,15,35,32
171,5,3,4,5,3,5,4,5,5,3,3,3,3,5,5,3,4,3,3,4,3,4,22,2,5,15,33,30
172,5,2,1,3,5,5,3,3,5,2,4,5,3,5,5,3,1,2,5,5,5,5,19,2,2,15,26,31
173,3,1,1,1,1,3,2,2,1,1,2,1,1,1,2,1,1,1,1,1,3,2,20,2,3,8,12,8
174,1,1,1,1,1,1,1,3,1,1,1,3,1,3,1,1,1,1,1,1,1,1,20,2,3,3,10,13
175,5,5,5,1,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,20,2,3,15,49,31
177,5,4,5,1,3,4,4,1,1,5,5,1,5,1,5,4,5,5,3,1,3,1,21,2,4,14,45,9
178,5,5,4,1,4,5,5,5,3,5,5,3,5,3,3,5,5,5,4,5,3,5,21,2,4,13,48,24
179,3,3,2,3,5,3,2,5,5,3,1,5,3,5,3,3,3,2,3,5,5,5,20,2,3,9,25,33
180,4,4,4,4,4,4,4,4,4,4,3,4,4,1,4,4,3,4,4,4,4,4,19,2,2,12,38,25
181,5,5,5,5,5,5,5,5,5,5,5,1,3,1,4,5,5,5,5,1,4,5,20,2,3,14,48,23
182,3,4,4,1,4,1,4,1,1,5,4,1,5,1,3,4,4,4,3,1,1,1,21,2,4,7,41,10
183,5,5,3,4,5,2,4,4,5,5,5,5,4,5,5,4,4,4,5,5,5,5,21,2,4,12,43,33
184,2,3,3,1,1,1,4,2,1,3,4,2,3,3,2,4,4,3,5,2,5,3,22,2,5,5,36,12
185,3,5,5,1,3,2,4,3,3,5,5,3,5,4,4,5,5,4,4,5,5,5,21,2,4,9,47,22
186,3,4,4,2,4,3,5,3,4,5,5,3,5,4,4,4,5,4,5,5,3,5,21,2,4,10,46,25
187,5,4,4,3,3,4,4,3,3,4,4,4,4,1,3,4,4,4,3,2,3,4,20,2,3,12,39,19
188,5,5,5,5,5,5,5,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,20,2,3,15,49,33
189,5,4,5,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,5,5,4,5,20,2,3,13,41,28
190,5,5,5,1,2,5,5,1,2,5,5,2,5,2,2,5,5,4,5,2,5,5,20,2,3,12,49,12
191,3,5,5,2,3,3,5,3,5,5,5,3,5,3,5,5,5,4,5,5,5,5,22,2,5,11,49,24
192,5,4,4,3,3,2,4,5,3,5,4,4,4,4,4,4,3,4,5,5,5,4,19,2,2,11,41,27
193,3,4,3,5,3,3,5,4,4,3,5,3,4,3,1,5,4,3,5,4,4,3,21,2,4,7,41,26
195,1,5,5,3,5,5,4,4,4,4,2,3,2,3,5,3,4,3,5,3,5,3,21,2,4,11,37,25
196,3,5,5,1,1,3,5,1,1,5,5,1,5,1,1,3,4,2,5,1,5,4,21,2,4,7,44,7
197,5,5,5,3,5,5,5,5,5,5,5,5,4,5,3,4,3,4,3,2,5,4,21,2,4,13,43,30
198,5,5,5,2,3,5,5,4,3,5,5,1,5,2,5,5,5,5,5,3,4,4,21,2,4,15,50,18
199,4,5,4,5,5,3,2,4,5,3,2,5,5,4,5,2,2,3,5,5,5,4,21,2,4,12,33,33
200,5,5,5,3,5,4,5,5,5,5,5,5,5,5,3,5,2,5,4,5,5,5,21,2,4,12,46,33
201,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,19,2,2,15,49,32
202,5,3,2,3,4,5,3,2,2,2,2,2,3,3,5,3,2,2,4,4,5,5,21,2,4,15,26,20
203,3,5,5,1,1,3,5,1,1,5,5,1,5,1,1,3,4,2,5,1,5,4,21,2,4,7,44,7
204,5,2,1,3,5,5,3,3,5,2,4,5,3,5,5,3,1,2,5,5,5,5,19,2,2,15,26,31
205,3,5,5,1,1,3,5,2,2,5,5,1,5,3,4,4,4,4,5,3,5,4,20,2,3,10,47,13
206,3,5,5,1,1,3,5,2,4,5,5,5,5,2,2,5,5,5,5,2,5,2,19,2,2,8,50,17
208,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,20,2,3,15,50,31
209,5,5,3,1,3,5,5,2,5,5,3,1,4,1,1,5,5,5,5,1,3,5,19,2,2,11,45,14
210,2,5,5,5,5,3,5,5,5,5,2,4,4,3,3,5,5,2,5,5,5,5,19,2,2,8,43,32
211,4,5,5,3,3,4,5,5,5,5,5,5,5,4,4,4,5,5,5,4,5,5,20,2,3,12,49,29
212,4,5,5,2,1,3,5,1,1,5,5,3,5,1,1,5,4,5,3,1,2,1,19,2,2,8,47,10
213,4,3,4,3,3,3,3,4,4,2,3,3,2,2,3,2,2,3,4,3,5,4,19,2,2,10,28,22
214,4,3,3,1,3,5,4,4,4,5,3,3,5,4,5,3,3,4,4,4,5,5,20,2,3,14,37,23
215,4,5,5,2,4,4,5,4,4,5,4,1,3,4,4,5,5,5,4,4,5,3,19,2,2,12,46,23
216,5,5,5,4,5,5,5,3,5,5,5,3,5,3,5,5,5,5,5,5,3,5,20,2,3,15,50,28
217,5,5,3,3,3,4,5,4,3,4,5,3,4,3,5,4,3,4,5,3,4,3,20,2,3,14,42,22
218,3,5,5,1,3,5,5,1,3,5,5,1,5,3,3,5,5,5,5,3,5,4,20,2,3,11,50,15
